country,birth-rate,mortality-rate-infants,GDP-PC-PPP,Region
Qatar,9.698,6.1,124609.3041,Middle East & North Africa
Luxembourg,10.4,2,110589.1924,Europe & Central Asia
Singapore,8.9,2.2,96552.60261,East Asia & Pacific
Brunei Darussalam,15.376,9.6,79789.48786,East Asia & Pacific
Ireland,12.9,3.2,77596.35505,Europe & Central Asia
United Arab Emirates,10.456,6.6,73137.87019,Middle East & North Africa
Kuwait,14.651,6.9,71695.56421,Middle East & North Africa
Switzerland,10.3,3.7,66395.85634,Europe & Central Asia
Norway,10.7,2.1,62012.40776,Europe & Central Asia
United States,11.8,5.7,59927.92983,America (Continent)
Iceland,11.9,1.6,55322.09013,Europe & Central Asia
Netherlands,9.9,3.3,54503.08193,Europe & Central Asia
Denmark,10.6,3.6,54282.54774,Europe & Central Asia
Austria,10,2.9,53937.06638,Europe & Central Asia
Saudi Arabia,18.319,6.4,53693.3697,Middle East & North Africa
Germany,9.5,3.2,52055.30995,Europe & Central Asia
Sweden,11.5,2.2,51878.6944,Europe & Central Asia
Belgium,10.5,3,50220.86667,Europe & Central Asia
Australia,12.4,3.1,49628.81181,East Asia & Pacific
Bahrain,14.365,6.2,47660.71731,Middle East & North Africa
Finland,9.1,1.5,46735.41074,Europe & Central Asia
Canada,10.3,4.4,46723.31776,America (Continent)
United Kingdom,11.4,3.7,45378.99774,Europe & Central Asia
France,11.4,3.4,44255.94164,Europe & Central Asia
Japan,7.6,1.9,41958.96216,East Asia & Pacific
Oman,19.786,9.8,41563.63827,Middle East & North Africa
Malta,9.2,6.1,41510.28901,Middle East & North Africa
Italy,7.6,2.7,41200.02872,Europe & Central Asia
New Zealand,12.43,4.8,40438.57095,East Asia & Pacific
Spain,8.4,2.6,38888.73547,Europe & Central Asia
Israel,21.1,3,38866.1107,Middle East & North Africa
"Korea, Rep.",7,2.8,38824.11539,East Asia & Pacific
Czech Republic,10.8,2.6,38019.58051,Europe & Central Asia
Cyprus,10.668,2,36155.48075,Europe & Central Asia
Slovenia,9.8,1.8,36142.79094,Europe & Central Asia
Estonia,10.5,2.2,33675.45771,Europe & Central Asia
Lithuania,10.1,3.6,33314.74037,Europe & Central Asia
Portugal,8.4,3.1,32777.40197,Europe & Central Asia
Slovak Republic,10.7,4.8,32243.84951,Europe & Central Asia
