color,rgb
sky blue,"135,206,235"
dark golden rod,"184,134,11"
dark gray / dark grey,"169,169,169"
pale violet red,"219,112,147"
firebrick,"178,34,34"
orange,"255,165,0"
green,"0,128,0"
medium orchid,"186,85,211"
light sky blue,"135,206,250"
dark orchid,"153,50,204"
light pink,"255,182,193"
light sea green,"32,178,170"
yellow,"255,255,0"
sea green,"46,139,87"
corn silk,"255,248,220"
spring green,"0,255,127"
blue violet,"138,43,226"
light gray / light grey,"211,211,211"
medium blue,"0,0,205"
gray / grey,"128,128,128"
crimson,"220,20,60"
red,"255,0,0"
slate blue,"106,90,205"
maroon,"128,0,0"
salmon,"250,128,114"
old lace,"253,245,230"
light salmon,"255,160,122"
forest green,"34,139,34"
peach puff,"255,218,185"
pale turquoise,"175,238,238"
blanched almond,"255,235,205"
burly wood,"222,184,135"
light slate gray,"119,136,153"
wheat,"245,222,179"
dark slate gray,"47,79,79"
indian red,"205,92,92"
magenta / fuchsia,"255,0,255"
olive,"128,128,0"
dim gray / dim grey,"105,105,105"
navy,"0,0,128"
royal blue,"65,105,225"
dark olive green,"85,107,47"
dark turquoise,"0,206,209"
light cyan,"224,255,255"
gainsboro,"220,220,220"
indigo,"75,0,130"
light golden rod yellow,"250,250,210"
light green,"144,238,144"
deep sky blue,"0,191,255"
dark sea green,"143,188,143"
dark salmon,"233,150,122"
light blue,"173,216,230"
yellow green,"154,205,50"
pink,"255,192,203"
lawn green,"124,252,0"
lime,"0,255,0"
gold,"255,215,0"
dark orange,"255,140,0"
papaya whip,"255,239,213"
pale green,"152,251,152"
steel blue,"70,130,180"
sienna,"160,82,45"
chart reuse,"127,255,0"
dark khaki,"189,183,107"
khaki,"240,230,140"
medium purple,"147,112,219"
dark red,"139,0,0"
medium slate blue,"123,104,238"
beige,"245,245,220"
tan,"210,180,140"
lavender,"230,230,250"
misty rose,"255,228,225"
sandy brown,"244,164,96"
bisque,"255,228,196"
blue,"0,0,255"
pale golden rod,"238,232,170"
cadet blue,"95,158,160"
orchid,"218,112,214"
plum,"221,160,221"
lime green,"50,205,50"
dark green,"0,100,0"
corn flower blue,"100,149,237"
light coral,"240,128,128"
aqua marine,"127,255,212"
olive drab,"107,142,35"
light yellow,"255,255,224"
antique white,"250,235,215"
hot pink,"255,105,180"
dark slate blue,"72,61,139"
peru,"205,133,63"
green yellow,"173,255,47"
coral,"255,127,80"
dodger blue,"30,144,255"
light steel blue,"176,196,222"
medium turquoise,"72,209,204"
violet,"238,130,238"
dark cyan,"0,139,139"
chocolate,"210,105,30"
medium violet red,"199,21,133"
midnight blue,"25,25,112"
turquoise,"64,224,208"
silver,"192,192,192"
purple,"128,0,128"
saddle brown,"139,69,19"
slate gray,"112,128,144"
cyan,"0,255,255"
navajo white,"255,222,173"
deep pink,"255,20,147"
medium sea green,"60,179,113"
brown,"165,42,42"
moccasin,"255,228,181"
dark violet,"148,0,211"
thistle,"216,191,216"
medium aqua marine,"102,205,170"
aqua,"0,255,255"
dark blue,"0,0,139"
lemon chiffon,"255,250,205"
rosy brown,"188,143,143"
tomato,"255,99,71"
teal,"0,128,128"
medium spring green,"0,250,154"
golden rod,"218,165,32"
powder blue,"176,224,230"
dark magenta,"139,0,139"
orange red,"255,69,0"
