Energy Source,2018,2015,2010,2005,2000,1995,1990
Coal,2485046,2657289,6997302,18384261,18931521,13971824,15053277
Geothermal,3461982,3110504,2069730,1262707,1370791,1553696,761192
Hydroelectric Conventional,1881266,2264136,2157296,1702380,2429468,1941534,1735081
Natural Gas,26688612,28999514,23688192,18835623,12667189,6443753,2217027
Other Gases,0,5523,5652,8281,0,0,0
Other,28782,1013,0,0,21152,26634,0
Petroleum,10245,15982,11158,20500,64794,26553,284108
Solar Thermal and Photovoltaic,4718895,1657405,216917,0,0,0,0
Other Biomass,53066,25695,0,0,0,0,0
Wind,312348,309724,0,0,0,0,0
