YEAR,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (MW/h),GENERATION (GW/h)
1990,AK,Total Electric Power Industry,Total,5599506,5.599506
1990,AK,Total Electric Power Industry,Coal,510573,0.510573
1990,AK,Total Electric Power Industry,Hydroelectric Conventional,974521,0.974521
1990,AK,Total Electric Power Industry,Natural Gas,3466261,3.466261
1990,AK,Total Electric Power Industry,Petroleum,497116,0.497116
1990,AK,Total Electric Power Industry,Wind,0,0
1990,AK,Total Electric Power Industry,Wood and Wood Derived Fuels,151035,0.151035
1990,AL,Total Electric Power Industry,Total,79652133,79.652133
1990,AL,Total Electric Power Industry,Coal,53658115,53.658115
1990,AL,Total Electric Power Industry,Hydroelectric Conventional,10366507,10.366507
1990,AL,Total Electric Power Industry,Natural Gas,1020714,1.020714
1990,AL,Total Electric Power Industry,Nuclear,12051882,12.051882
1990,AL,Total Electric Power Industry,Other Biomass,47503,0.047503
1990,AL,Total Electric Power Industry,Other Gases,269476,0.269476
1990,AL,Total Electric Power Industry,Petroleum,138089,0.138089
1990,AL,Total Electric Power Industry,Wood and Wood Derived Fuels,2099847,2.099847
1990,AR,Total Electric Power Industry,Total,39099598,39.099598
1990,AR,Total Electric Power Industry,Coal,19207935,19.207935
1990,AR,Total Electric Power Industry,Hydroelectric Conventional,3654653,3.654653
1990,AR,Total Electric Power Industry,Natural Gas,3578573,3.578573
1990,AR,Total Electric Power Industry,Nuclear,11282053,11.282053
1990,AR,Total Electric Power Industry,Other Biomass,15389,0.015389
1990,AR,Total Electric Power Industry,Petroleum,79979,0.079979
1990,AR,Total Electric Power Industry,Wood and Wood Derived Fuels,1238044,1.238044
1990,AZ,Total Electric Power Industry,Total,62774297,62.774297
1990,AZ,Total Electric Power Industry,Coal,31915610,31.91561
1990,AZ,Total Electric Power Industry,Hydroelectric Conventional,7417576,7.417576
1990,AZ,Total Electric Power Industry,Natural Gas,2333900,2.3339
1990,AZ,Total Electric Power Industry,Nuclear,20597689,20.597689
1990,AZ,Total Electric Power Industry,Petroleum,151867,0.151867
1990,AZ,Total Electric Power Industry,Wood and Wood Derived Fuels,107888,0.107888
1990,CA,Total Electric Power Industry,Total,165784909,165.784909
